Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rctch,Rdrs,Rdrs/yr,Rgood,Rair,Rrange,Rthrow,RszC,RsbC,RerC,PB,WP,SB,CS,CS%
2024,AL,3,4.34,162,162,142,1436,1472,1403,58,11,6,0.993,1,0,1,19,0,0,0,0,0,2,0,0,7,46,113,31,22%
2023,AL,4,4.57,162,162,137,1439,1511,1441,59,12,7,0.992,1,0,1,10,0,-1,0,-1,0,1,0,-1,8,56,111,29,21%
2022,AL,4,4.2,162,162,140,1437,1438,1368,60,10,6,0.993,0,0,0,24,0,-1,0,0,0,1,0,0,8,56,82,27,25%
2021,AL,4,4.58,162,162,142,1423,1488,1415,64,9,6,0.994,-2,0,-2,9,0,-2,0,0,0,0,0,0,12,68,74,23,23%
2020,AL,4,4.63,60,60,50,519,552,524,24,4,2,0.993,0,0,0,4,0,-1,0,0,0,0,0,0,5,23,29,10,26%
2019,AL,4,4.95,162,162,141,1446,1507,1425,73,9,8,0.994,-1,0,-1,-8,0,-1,0,0,0,-2,0,1,12,67,76,29,27%
2018,AL,4,4.56,162,162,143,1444,1463,1369,86,8,9,0.994,-2,0,-2,-4,0,-1,0,-1,0,0,0,0,15,68,83,32,28%
2017,AL,4,4.67,162,162,140,1442,1428,1341,77,10,7,0.993,-2,0,-2,6,0,0,0,-1,0,2,0,0,13,63,85,31,27%
2016,AL,4,4.47,162,162,142,1441,1380,1291,81,8,8,0.994,1,0,1,9,0,0,0,0,0,-1,0,0,13,59,75,31,29%
2015,AL,4,4.29,162,162,142,1446,1337,1239,89,9,9,0.994,1,0,1,-4,0,-1,0,0,0,-1,1,0,12,63,76,35,32%
2014,AL,4,4.14,162,162,143,1453,1339,1249,81,9,8,0.993,-1,0,-1,-12,0,0,0,0,0,0,-1,0,11,58,92,33,27%
2013,AL,4,4.29,162,162,142,1454,1335,1248,78,9,9,0.993,-2,0,-2,-20,0,0,0,0,0,0,-1,0,13,60,94,33,26%
2024,NL,4,4.45,162,162,142,1438,1460,1390,59,11,6,0.992,-1,0,-1,12,0,0,0,0,0,-2,-1,1,9,50,128,33,20%
2023,NL,3,4.66,162,162,143,1434,1459,1388,58,12,7,0.991,-1,0,-1,9,0,1,0,0,0,-1,-1,0,7,51,122,29,19%
2022,NL,4,4.36,162,162,142,1434,1464,1392,62,10,8,0.993,0,0,0,10,0,1,0,0,0,-2,0,0,8,52,84,27,24%
2021,NL,4,4.48,162,162,145,1418,1499,1423,68,8,7,0.995,2,0,2,23,0,2,0,0,0,0,0,0,11,56,73,25,25%
2020,NL,3,4.66,60,60,51,513,552,526,23,3,2,0.994,0,0,0,2,0,1,0,0,0,0,0,-1,4,22,30,10,24%
2019,NL,4,4.71,162,162,141,1449,1538,1451,76,11,8,0.993,1,0,1,33,0,1,0,0,0,1,0,-1,11,52,76,27,26%
2018,NL,4,4.34,162,162,141,1455,1492,1399,83,10,8,0.993,2,0,2,28,0,1,0,1,0,0,0,0,10,56,82,32,28%
2017,NL,4,4.63,162,162,141,1442,1457,1353,93,11,11,0.993,2,0,2,10,0,1,0,1,0,-2,0,0,12,58,84,32,27%
2016,NL,4,4.48,162,162,145,1446,1427,1321,95,11,9,0.993,-1,0,-1,13,0,0,0,0,0,2,0,0,12,61,94,35,27%
2015,NL,4,4.21,162,162,146,1448,1372,1272,90,10,9,0.993,-1,0,-1,-10,0,1,0,0,0,1,-1,0,10,55,91,35,28%
2014,NL,4,4,162,162,148,1454,1370,1261,99,10,9,0.992,1,0,1,9,0,0,0,0,0,0,1,0,12,56,92,36,28%
2013,NL,4,4.04,162,162,148,1456,1321,1220,92,9,8,0.993,2,0,2,2,0,1,0,0,0,1,1,1,9,55,85,34,28%
