Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rgood
2024,AL,6,4.34,162,162,133,1436,426,416,6,4,1,0.99,-1,0,-1,0,19,0,0,1,0
2023,AL,6,4.57,162,162,138,1439,411,402,5,4,2,0.99,2,0,2,0,10,0,2,0,0
2022,AL,6,4.2,162,162,133,1437,415,406,6,3,1,0.992,2,0,2,0,24,0,1,0,0
2021,AL,6,4.58,162,162,140,1423,404,393,7,4,2,0.99,0,0,0,0,9,0,-1,0,0
2020,AL,4,4.63,60,60,52,519,147,144,2,1,0,0.991,2,0,2,0,4,0,1,0,0
2019,AL,6,4.95,162,162,139,1446,405,393,7,5,2,0.988,4,0,3,1,-8,0,-1,0,1
2018,AL,6,4.56,162,162,138,1444,416,404,8,4,2,0.989,0,0,-1,1,-4,0,-3,0,1
2017,AL,5,4.67,162,162,138,1442,411,398,8,6,2,0.987,3,0,4,-1,6,0,4,0,1
2016,AL,6,4.47,162,162,145,1441,401,387,9,5,2,0.988,-6,0,-7,1,9,0,-1,0,0
2015,AL,5,4.29,162,162,141,1446,435,421,10,4,2,0.99,0,0,-2,2,-4,0,3,2,1
2014,AL,5,4.14,162,162,141,1453,440,427,8,5,2,0.989,-4,0,-4,-1,-12,0,-1,0,1
2013,AL,5,4.29,162,162,143,1454,434,423,7,4,2,0.99,-2,0,-2,-1,-20,0,1,0,0
2024,NL,5,4.45,162,162,135,1438,428,418,6,4,1,0.991,0,0,1,0,12,0,0,0,0
2023,NL,6,4.66,162,162,132,1434,405,395,6,4,2,0.99,-1,0,-1,0,9,0,-2,0,0
2022,NL,6,4.36,162,162,132,1434,398,388,6,4,2,0.99,-2,0,-2,0,10,0,-1,0,0
2021,NL,7,4.48,162,162,126,1418,380,370,6,4,2,0.99,1,0,1,0,23,0,0,1,0
2020,NL,5,4.66,60,60,46,513,134,131,2,1,1,0.991,-2,0,-2,0,2,0,-1,0,0
2019,NL,6,4.71,162,162,123,1449,379,367,7,5,2,0.986,-3,0,-3,0,33,0,0,0,0
2018,NL,5,4.34,162,162,136,1455,401,389,7,6,1,0.985,1,0,1,-1,28,0,3,0,0
2017,NL,6,4.63,162,162,138,1442,377,364,8,4,2,0.988,-3,0,-4,1,10,0,-4,0,-1
2016,NL,6,4.48,162,162,138,1446,389,377,8,4,1,0.989,7,0,8,-1,13,0,2,-1,0
2015,NL,5,4.21,162,162,138,1448,392,380,7,4,2,0.989,0,0,2,-2,-10,0,-3,-1,0
2014,NL,5,4,162,162,139,1454,407,393,8,6,2,0.986,5,0,4,1,9,0,1,1,-1
2013,NL,5,4.04,162,162,140,1456,408,394,9,5,2,0.987,3,0,2,1,2,0,0,1,0
