Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rgood,Rair,Rrange,Rthrow,Rbnt
2024,AL,7,4.34,162,162,140,1436,1290,1178,104,8,108,0.993,0,0,0,0,19,0,-2,0,0,-2,0,0
2023,AL,6,4.57,162,162,137,1439,1288,1188,93,7,117,0.995,-2,0,-2,0,10,0,-2,-1,0,-1,-1,0
2022,AL,6,4.2,162,162,142,1437,1328,1241,80,8,119,0.994,-1,0,-1,0,24,0,-2,0,0,-1,-1,0
2021,AL,6,4.58,162,162,144,1423,1307,1221,76,9,118,0.993,-1,0,-2,0,9,0,-2,0,0,-2,-1,0
2020,AL,5,4.63,60,60,51,519,474,439,32,4,42,0.993,1,0,1,0,4,0,1,0,0,1,0,0
2019,AL,7,4.95,162,162,140,1446,1348,1252,86,10,121,0.993,-3,0,-4,1,-8,0,-2,0,0,-1,-1,0
2018,AL,6,4.56,162,162,141,1444,1374,1281,84,9,121,0.993,0,0,-1,0,-4,0,-2,0,0,-2,-1,0
2017,AL,6,4.67,162,162,142,1442,1394,1295,89,9,135,0.993,0,0,0,0,6,0,0,0,0,-1,0,0
2016,AL,6,4.47,162,162,138,1441,1444,1349,87,9,135,0.994,-2,0,-2,0,9,0,-2,1,0,-1,0,0
2015,AL,6,4.29,162,162,136,1446,1471,1365,97,9,130,0.994,-1,0,-1,0,-4,0,-3,0,0,-2,-1,-1
2014,AL,6,4.14,162,162,140,1453,1460,1348,101,11,128,0.992,-1,0,-1,0,-12,0,-2,0,0,-2,-1,0
2013,AL,6,4.29,162,162,142,1454,1447,1336,102,9,133,0.994,-2,0,-2,0,-20,0,-3,-1,0,-2,0,0
2024,NL,5,4.45,162,162,141,1438,1331,1223,102,6,119,0.995,0,0,0,0,12,0,2,0,0,2,0,0
2023,NL,6,4.66,162,162,138,1434,1349,1233,109,7,129,0.995,2,0,2,0,9,0,1,0,0,0,1,0
2022,NL,7,4.36,162,162,139,1434,1360,1251,101,8,122,0.994,0,0,0,0,10,0,2,0,0,2,0,0
2021,NL,7,4.48,162,162,134,1418,1324,1207,109,8,116,0.994,1,0,2,0,23,0,2,0,0,1,0,0
2020,NL,6,4.66,60,60,52,513,478,438,36,4,46,0.992,-1,0,-1,0,2,0,-1,0,0,-1,0,0
2019,NL,6,4.71,162,162,135,1449,1390,1264,116,10,124,0.993,4,0,4,0,33,0,2,0,0,1,0,0
2018,NL,7,4.34,162,162,135,1455,1409,1296,105,9,126,0.994,1,0,1,0,28,0,2,0,0,1,0,0
2017,NL,7,4.63,162,162,136,1442,1441,1330,102,9,133,0.994,0,0,0,0,10,0,0,0,0,0,0,0
2016,NL,6,4.48,162,162,132,1446,1464,1351,104,9,130,0.994,3,0,2,0,13,0,2,-1,0,1,0,0
2015,NL,6,4.21,162,162,135,1448,1505,1390,105,9,136,0.994,1,0,1,0,-10,0,1,0,0,0,0,0
2014,NL,6,4,162,162,138,1454,1512,1389,113,10,129,0.993,1,0,1,0,9,0,1,0,0,1,0,0
2013,NL,5,4.04,162,162,139,1456,1535,1414,111,10,133,0.994,2,0,2,0,2,0,2,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
