Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rgood
2024,AL,9,4.34,162,162,122,1436,331,320,7,4,1,0.987,3,0,3,0,19,0,1,1,0
2023,AL,8,4.57,162,162,125,1439,311,298,9,4,1,0.987,-1,0,-1,0,10,0,1,1,1
2022,AL,10,4.2,162,162,127,1437,312,298,9,5,1,0.985,2,0,1,0,24,0,1,1,1
2021,AL,9,4.58,162,162,122,1423,289,278,7,3,1,0.988,-1,0,-2,0,9,0,-1,1,0
2020,AL,7,4.63,60,60,46,519,107,103,3,2,1,0.985,2,0,2,0,4,0,0,0,0
2019,AL,9,4.95,162,162,133,1446,301,286,9,5,2,0.983,0,0,-1,1,-8,0,-2,0,0
2018,AL,8,4.56,162,162,129,1444,321,307,9,5,2,0.986,0,0,-1,1,-4,0,-1,1,1
2017,AL,7,4.67,162,162,129,1442,311,296,10,4,2,0.986,2,0,3,-1,6,0,0,0,0
2016,AL,8,4.47,162,162,127,1441,303,287,11,5,2,0.984,-2,0,-2,0,9,0,-1,-1,1
2015,AL,9,4.29,162,162,118,1446,312,296,11,5,2,0.984,-1,0,-3,2,-4,0,0,2,1
2014,AL,8,4.14,162,162,130,1453,329,315,9,4,1,0.987,-3,0,-4,1,-12,0,-1,1,1
2013,AL,7,4.29,162,162,124,1454,323,309,11,4,2,0.989,-4,0,-4,0,-20,0,-2,1,2
2024,NL,8,4.45,162,162,125,1438,303,291,8,4,1,0.987,-4,0,-4,0,12,0,0,-1,0
2023,NL,8,4.66,162,162,123,1434,305,292,8,4,1,0.986,1,0,1,-1,9,0,0,0,-1
2022,NL,9,4.36,162,162,125,1434,295,285,7,4,1,0.988,-2,0,-2,0,10,0,-1,-1,0
2021,NL,10,4.48,162,162,121,1418,300,289,6,5,1,0.983,1,0,1,0,23,0,0,-1,0
2020,NL,7,4.66,60,60,44,513,105,101,3,1,0,0.989,-2,0,-1,0,2,0,0,0,0
2019,NL,8,4.71,162,162,113,1449,295,282,8,5,1,0.982,0,0,1,-1,33,0,1,1,0
2018,NL,8,4.34,162,162,123,1455,304,291,8,4,2,0.986,0,0,1,-1,28,0,0,-1,-1
2017,NL,9,4.63,162,162,121,1442,299,284,9,5,1,0.982,-2,0,-2,0,10,0,0,0,0
2016,NL,10,4.48,162,162,120,1446,295,280,10,5,2,0.981,3,0,2,0,13,0,0,1,-1
2015,NL,8,4.21,162,162,119,1448,293,280,9,4,1,0.986,1,0,3,-2,-10,0,1,-2,0
2014,NL,7,4,162,162,125,1454,299,286,7,6,2,0.981,4,0,5,-1,9,0,1,-1,-1
2013,NL,9,4.04,162,162,123,1456,300,287,8,5,1,0.984,4,0,4,-1,2,0,1,-1,-1
