Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rdrs,Rdrs/yr,Rpm,Rgood,Rair,Rrange,Rthrow,RsbP,SB,CS,CS%,PO
2024,AL,30,4.34,162,162,1,1436,220,90,119,11,8,0.95,19,0,-1,0,0,0,-2,0,113,31,22%,9
2023,AL,31,4.57,162,162,1,1439,210,81,121,9,9,0.959,10,0,2,0,0,1,-2,1,111,29,21%,10
2022,AL,30,4.2,162,162,1,1437,192,67,114,11,9,0.943,24,0,-2,0,0,-2,-2,0,82,27,25%,7
2021,AL,31,4.58,162,162,1,1423,193,63,119,10,8,0.946,9,0,-1,-1,0,0,-2,-1,74,23,23%,7
2020,AL,25,4.63,60,60,1,519,76,26,46,4,3,0.946,4,0,0,0,0,-1,-2,0,29,10,26%,3
2019,AL,30,4.95,162,162,2,1446,208,71,125,11,10,0.945,-8,0,-3,0,0,-2,-2,1,76,29,27%,10
2018,AL,28,4.56,162,162,2,1444,221,70,140,11,10,0.952,-4,0,0,0,0,0,-2,0,83,32,28%,9
2017,AL,28,4.67,162,162,2,1442,225,73,140,12,11,0.948,6,0,-2,0,0,-2,-2,0,85,31,27%,8
2016,AL,26,4.47,162,162,3,1441,237,70,155,12,11,0.95,9,0,0,-1,0,0,-2,0,75,31,29%,8
2015,AL,26,4.29,162,162,4,1446,257,81,163,12,13,0.954,-4,0,-1,0,0,0,-1,2,76,35,32%,10
2014,AL,25,4.14,162,162,4,1453,249,82,155,12,12,0.95,-12,0,-1,-1,0,-1,0,0,92,33,27%,10
2013,AL,23,4.29,162,162,4,1454,259,86,162,11,12,0.957,-20,0,-1,-1,0,-1,-2,-1,94,33,26%,9
2024,NL,31,4.45,162,162,1,1438,229,86,131,12,9,0.948,12,0,0,-1,0,0,-2,-1,128,33,20%,12
2023,NL,30,4.66,162,162,1,1434,229,95,123,11,12,0.951,9,0,-2,0,0,-2,-2,-1,122,29,19%,9
2022,NL,31,4.36,162,162,1,1434,227,89,128,10,9,0.957,10,0,1,0,0,0,-2,0,84,27,24%,8
2021,NL,33,4.48,162,162,2,1418,245,89,146,10,12,0.957,23,0,1,0,0,1,0,1,73,25,25%,8
2020,NL,26,4.66,60,60,1,513,88,31,51,5,4,0.943,2,0,0,0,0,0,-2,0,30,10,24%,3
2019,NL,28,4.71,162,162,1,1449,269,98,158,13,11,0.95,33,0,3,0,0,2,0,-1,76,27,26%,8
2018,NL,29,4.34,162,162,1,1455,264,85,166,13,12,0.952,28,0,1,0,0,0,-1,1,82,32,28%,11
2017,NL,25,4.63,162,162,2,1442,279,86,181,12,14,0.959,10,0,2,-1,0,1,0,1,84,32,27%,10
2016,NL,27,4.48,162,162,3,1446,270,79,177,14,13,0.948,13,0,1,0,0,0,-1,-1,94,35,27%,10
2015,NL,26,4.21,162,162,3,1448,285,87,185,13,13,0.954,-10,0,0,0,0,1,-1,0,91,35,28%,10
2014,NL,23,4,162,162,4,1454,291,93,184,13,13,0.955,9,0,2,0,0,2,-1,0,92,36,28%,10
2013,NL,23,4.04,162,162,4,1456,295,91,193,11,12,0.964,2,0,1,0,0,0,0,1,85,34,28%,10
