Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rgood
2024,AL,8,4.34,162,162,128,1436,341,328,8,5,2,0.986,4,0,4,0,19,0,1,0,0
2023,AL,8,4.57,162,162,127,1439,352,337,10,5,2,0.987,3,0,3,1,10,0,-1,-1,0
2022,AL,9,4.2,162,162,124,1437,355,342,9,4,2,0.988,6,0,5,1,24,0,1,0,0
2021,AL,8,4.58,162,162,132,1423,342,328,9,5,2,0.985,3,0,3,0,9,0,0,0,1
2020,AL,5,4.63,60,60,49,519,121,116,3,2,1,0.984,1,0,0,1,4,0,0,1,0
2019,AL,8,4.95,162,162,136,1446,339,325,9,6,2,0.983,2,0,2,0,-8,0,-1,0,0
2018,AL,7,4.56,162,162,134,1444,338,323,10,5,2,0.986,3,0,3,0,-4,0,-2,1,1
2017,AL,7,4.67,162,162,136,1442,333,318,10,6,2,0.982,3,0,2,1,6,0,-1,1,0
2016,AL,7,4.47,162,162,131,1441,341,325,12,5,3,0.986,2,0,1,1,9,0,-2,2,1
2015,AL,8,4.29,162,162,133,1446,329,313,11,5,3,0.985,0,0,0,0,-4,0,-4,0,1
2014,AL,8,4.14,162,162,132,1453,342,325,10,6,2,0.982,-3,0,-2,0,-12,0,-2,0,0
2013,AL,7,4.29,162,162,136,1454,340,325,9,6,2,0.982,-3,0,-2,0,-20,0,-2,0,0
2024,NL,8,4.45,162,162,121,1438,341,328,9,5,2,0.986,-3,0,-3,0,12,0,0,-1,0
2023,NL,8,4.66,162,162,128,1434,332,316,11,4,2,0.987,-3,0,-3,0,9,0,1,1,0
2022,NL,8,4.36,162,162,129,1434,335,320,10,5,2,0.985,-6,0,-6,-1,10,0,-1,0,0
2021,NL,9,4.48,162,162,131,1418,307,294,8,5,1,0.985,-3,0,-3,0,23,0,-1,0,-1
2020,NL,6,4.66,60,60,47,513,114,110,2,2,1,0.983,-1,0,0,-1,2,0,-1,-1,0
2019,NL,8,4.71,162,162,125,1449,325,309,10,6,2,0.983,-2,0,-2,0,33,0,1,1,-1
2018,NL,8,4.34,162,162,126,1455,320,307,9,5,1,0.985,-4,0,-2,-1,28,0,2,-1,-1
2017,NL,8,4.63,162,162,137,1442,317,304,8,5,2,0.985,-2,0,-1,-1,10,0,1,0,-1
2016,NL,8,4.48,162,162,136,1446,328,314,9,5,1,0.984,-1,0,0,-1,13,0,2,-1,-1
2015,NL,7,4.21,162,162,139,1448,329,313,10,6,2,0.983,0,0,0,0,-10,0,4,0,-1
2014,NL,7,4,162,162,137,1454,336,321,11,4,2,0.987,3,0,3,1,9,0,1,0,0
2013,NL,7,4.04,162,162,133,1456,342,327,10,5,2,0.985,3,0,3,0,2,0,3,-1,-1
