Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp,Rgood,Rair,Rrange,Rthrow
2024,AL,7,4.34,162,162,132,1436,644,239,394,11,86,0.983,0,0,1,0,19,0,-2,0,0,0,-1,-1
2023,AL,6,4.57,162,162,128,1439,659,259,390,10,94,0.985,-1,0,-1,0,10,0,0,0,0,0,-1,0
2022,AL,6,4.2,162,162,137,1437,675,271,392,12,93,0.982,1,0,1,0,24,0,2,0,0,0,1,1
2021,AL,6,4.58,162,162,140,1423,651,259,380,12,96,0.982,-2,0,-3,0,9,0,-1,0,0,0,1,-1
2020,AL,5,4.63,60,60,50,519,235,92,139,4,33,0.981,-1,0,-1,0,4,0,-1,0,0,0,-1,0
2019,AL,6,4.95,162,162,139,1446,670,267,391,13,96,0.981,-2,0,-1,0,-8,0,-3,0,0,-1,-3,0
2018,AL,6,4.56,162,162,145,1444,673,263,397,12,98,0.982,0,0,0,0,-4,0,-1,0,-1,0,-2,0
2017,AL,5,4.67,162,162,142,1442,710,279,419,12,110,0.983,3,0,3,1,6,0,1,1,-1,0,-1,2
2016,AL,5,4.67,162,162,142,1442,710,279,419,12,110,0.983,3,0,3,1,6,0,1,1,-1,0,-1,2
2015,AL,5,4.29,162,162,142,1446,749,286,450,12,104,0.983,1,0,0,0,-4,0,-2,0,0,-1,-1,0
2014,AL,5,4.14,162,162,141,1453,757,282,463,12,102,0.984,3,0,3,1,-12,0,1,0,0,1,-1,1
2013,AL,5,4.29,162,162,142,1454,761,287,462,11,107,0.985,1,0,0,1,-20,0,-1,0,0,-1,-1,1
2024,NL,6,4.45,162,162,141,1438,672,263,400,9,97,0.986,-1,0,-1,0,12,0,2,0,0,0,1,0
2023,NL,6,4.66,162,162,135,1434,689,269,410,9,104,0.987,1,0,1,0,9,0,1,0,0,0,1,0
2022,NL,7,4.36,162,162,137,1434,669,263,395,11,96,0.984,0,0,-1,1,10,0,-1,0,0,0,-1,-1
2021,NL,7,4.48,162,162,133,1418,662,264,385,12,90,0.982,2,0,2,0,23,0,1,0,0,0,0,1
2020,NL,5,4.66,60,60,47,513,232,88,139,5,34,0.978,1,0,1,0,2,0,1,0,0,0,1,0
2019,NL,6,4.71,162,162,128,1449,680,268,400,12,101,0.983,2,0,2,1,33,0,4,1,0,0,4,0
2018,NL,7,4.34,162,162,127,1455,709,282,414,13,102,0.982,0,0,0,0,28,0,3,0,0,1,3,-1
2017,NL,6,4.63,162,162,134,1442,720,281,425,13,106,0.982,-3,0,-2,0,10,0,-1,0,1,0,1,-2
2016,NL,6,4.48,162,162,134,1446,751,291,447,14,103,0.982,-1,0,0,-1,13,0,-1,0,0,0,0,0
2015,NL,5,4.21,162,162,139,1448,780,299,470,11,108,0.986,-1,0,0,0,-10,0,-2,0,0,0,-2,0
2014,NL,6,4,162,162,141,1454,767,300,453,14,102,0.982,-3,0,-3,0,9,0,-2,0,0,0,-1,-1
2013,NL,5,4.04,162,162,144,1456,777,307,457,13,103,0.984,-1,0,0,-1,2,0,-5,0,0,0,-4,-1
