Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp,Rgood,Rair,Rrange,Rthrow
2024,AL,4,4.34,162,162,145,1436,607,216,375,17,78,0.972,1,0,1,0,19,0,1,0,0,0,0,1
2023,AL,5,4.57,162,162,142,1439,605,199,389,17,81,0.972,-2,0,-2,0,10,0,0,0,0,0,1,-1
2022,AL,5,4.2,162,162,146,1437,643,192,433,18,80,0.972,0,0,0,0,24,0,1,0,0,0,1,0
2021,AL,4,4.58,162,162,148,1423,619,191,412,16,79,0.974,1,0,1,0,9,0,2,0,0,0,1,1
2020,AL,4,4.63,60,60,53,519,224,70,148,6,29,0.973,0,0,0,0,4,0,0,0,0,0,-1,0
2019,AL,5,4.95,162,162,146,1446,641,199,423,19,86,0.97,0,0,0,0,-8,0,-3,-1,0,0,-2,-1
2018,AL,5,4.56,162,162,149,1444,634,201,414,18,87,0.971,-2,0,-2,0,-4,0,-4,0,0,-1,-2,-1
2017,AL,4,4.67,162,162,149,1442,672,216,439,17,97,0.975,1,0,1,0,6,0,0,0,0,0,-1,1
2016,AL,4,4.47,162,162,149,1441,684,221,447,16,98,0.976,1,0,1,0,9,0,-2,0,-1,0,-3,2
2015,AL,4,4.29,162,162,149,1446,695,223,453,19,95,0.972,-1,0,0,-1,-4,0,-4,0,0,-1,-2,-1
2014,AL,4,4.14,162,162,149,1453,661,214,429,18,93,0.973,-5,0,-5,0,-12,0,-6,0,0,0,-5,-2
2013,AL,4,4.29,162,162,148,1454,688,235,435,18,99,0.973,-4,0,-4,0,-20,0,-6,0,0,0,-5,-1
2024,NL,4,4.45,162,162,150,1438,629,209,402,18,83,0.972,-2,0,-2,0,12,0,-1,0,0,0,0,0
2023,NL,5,4.66,162,162,144,1434,629,208,405,16,88,0.974,2,0,2,0,9,0,0,0,0,0,-1,0
2022,NL,5,4.36,162,162,146,1434,635,204,415,17,86,0.974,0,0,0,0,10,0,-1,0,0,0,-1,0
2021,NL,5,4.48,162,162,146,1418,625,210,396,19,80,0.97,-1,0,-1,0,23,0,-1,0,0,0,0,-1
2020,NL,3,4.66,60,60,54,513,222,73,142,7,33,0.969,1,0,1,0,2,0,0,0,0,0,1,0
2019,NL,4,4.71,162,162,146,1449,641,202,421,18,89,0.972,0,0,0,0,33,0,3,0,0,0,2,1
2018,NL,4,4.34,162,162,142,1455,659,211,430,18,90,0.973,2,0,2,0,28,0,4,-1,0,0,2,1
2017,NL,5,4.63,162,162,145,1442,685,222,445,18,101,0.973,-1,0,-1,1,10,0,1,1,0,0,1,-1
2016,NL,4,4.48,162,162,146,1446,689,223,448,17,98,0.975,-1,0,-1,0,13,0,1,0,1,0,3,-1
2015,NL,4,4.21,162,162,145,1448,723,226,479,19,106,0.974,1,0,1,0,-10,0,1,0,0,0,-1,1
2014,NL,4,4,162,162,147,1454,713,219,476,18,99,0.975,5,0,5,0,9,0,5,0,0,1,3,1
2013,NL,4,4.04,162,162,147,1456,730,229,483,18,101,0.975,3,0,3,0,2,0,1,0,-1,0,0,1
