Season,Lg,#Fld,RA/G,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rgood,Rair,Rrange,Rthrow,Rbnt
2024,AL,7,4.34,162,162,134,1436,410,118,276,16,26,0.961,-3,0,-3,0,19,0,-1,0,0,1,-1,0
2023,AL,6,4.57,162,162,136,1439,415,111,288,16,30,0.962,0,0,0,0,10,0,-1,0,0,-1,1,0
2022,AL,6,4.2,162,162,143,1437,446,126,305,15,35,0.967,-1,0,-2,1,24,0,-1,0,0,-1,0,0
2021,AL,6,4.58,162,162,141,1423,449,121,311,17,38,0.962,0,0,-1,0,9,0,-1,0,0,-1,0,0
2020,AL,5,4.63,60,60,52,519,155,42,106,7,12,0.958,-1,0,-2,0,4,0,-1,0,0,-2,-1,0
2019,AL,6,4.95,162,162,142,1446,448,121,309,19,32,0.958,-1,0,-2,0,-8,0,-2,0,0,-3,0,0
2018,AL,6,4.56,162,162,145,1444,442,114,309,18,31,0.958,-2,0,-2,0,-4,0,-2,-1,0,-2,0,-1
2017,AL,6,4.67,162,162,141,1442,435,110,306,19,35,0.956,-3,0,-3,0,6,0,-2,0,0,-2,0,0
2016,AL,6,4.47,162,162,144,1441,445,111,316,18,33,0.959,0,0,-1,1,9,0,0,0,0,0,0,0
2015,AL,5,4.29,162,162,139,1446,443,113,311,19,30,0.958,3,0,3,0,-4,0,1,0,0,1,0,0
2014,AL,5,4.14,162,162,137,1453,432,118,295,19,29,0.956,-3,0,-3,0,-12,0,-3,1,0,-2,-1,0
2013,AL,5,4.29,162,162,145,1454,423,113,293,17,31,0.959,-2,0,-2,1,-20,0,-1,0,0,-2,0,0
2024,NL,6,4.45,162,162,139,1438,424,108,300,17,30,0.96,2,0,2,0,12,0,1,0,0,-1,1,0
2023,NL,6,4.66,162,162,138,1434,430,106,308,16,32,0.963,0,0,0,0,9,0,1,0,0,1,0,0
2022,NL,7,4.36,162,162,139,1434,447,112,318,18,34,0.961,2,0,2,0,10,0,2,0,0,2,0,-1
2021,NL,7,4.48,162,162,136,1418,421,107,296,18,31,0.957,1,0,1,0,23,0,1,0,0,1,0,0
2020,NL,4,4.66,60,60,52,513,163,40,116,8,12,0.953,2,0,2,0,2,0,1,0,0,1,0,-1
2019,NL,6,4.71,162,162,135,1449,423,105,301,16,31,0.962,2,0,2,0,33,0,2,0,0,3,-1,0
2018,NL,7,4.34,162,162,134,1455,421,106,297,18,31,0.958,2,0,2,0,28,0,2,0,0,2,1,0
2017,NL,7,4.63,162,162,138,1442,413,102,296,16,31,0.962,3,0,3,0,10,0,2,0,0,2,0,0
2016,NL,6,4.48,162,162,137,1446,423,103,302,19,29,0.956,1,0,1,0,13,0,0,0,0,0,0,0
2015,NL,6,4.21,162,162,137,1448,415,96,300,19,29,0.955,-3,0,-2,0,-10,0,-1,0,0,-1,0,0
2014,NL,6,4,162,162,142,1454,423,100,307,16,30,0.962,3,0,3,0,9,0,1,-1,0,1,0,0
2013,NL,6,4.04,162,162,133,1456,437,100,319,18,28,0.958,2,0,2,0,2,0,1,0,0,1,0,0
